agent,model,obs_type,update,discretization,mean_episode_reward,std_episode_reward,mean_episode_steps,std_episode_steps,num_episodes,terminated_episodes,truncated_episodes,termination_rate,truncation_rate
TS,PPO,cardinal,discrete,5,-80.564,199.9108223783795,92.386,149.5065115772554,1000,888,112,0.888,0.112
TS,PPO,cardinal,discrete,10,-35.807,121.09922275142809,47.611,77.44151134243185,1000,977,23,0.977,0.023
MLS,PPO,cardinal,discrete,5,-95.9125,223.5223838763134,105.938,166.6745696139636,1000,855,145,0.855,0.145
MLS,PPO,cardinal,discrete,10,-48.3635,159.84677074545485,55.555,99.94090741533219,1000,957,43,0.957,0.043
TS,DQN,cardinal,discrete,5,-55.917,155.72313768672913,70.602,118.09761892603932,1000,934,66,0.934,0.066
TS,DQN,cardinal,discrete,10,-22.4305,63.874086449435815,37.892,41.23261252940444,1000,994,6,0.994,0.006
MLS,DQN,cardinal,discrete,5,-75.6605,203.21666267742415,82.591,138.66126971508663,1000,905,95,0.905,0.095
MLS,DQN,cardinal,discrete,10,-31.995,110.74772221133941,45.288,77.7989270877176,1000,975,25,0.975,0.025
QMDP,DQN,cardinal,discrete,5,-85.387,195.29029220880386,108.674,171.26810480647003,1000,845,155,0.845,0.155
QMDP,DQN,cardinal,discrete,10,-39.5235,103.76756814029132,66.687,125.71809349095301,1000,927,73,0.927,0.073
TS,PPO,cardinal,particlefilters,1000,-32.1235,96.55517592418337,42.869,50.06923046143209,1000,990,10,0.99,0.01
TS,PPO,cardinal,particlefilters,2000,-33.28,98.55127903786943,44.273,52.59954820148173,1000,990,10,0.99,0.01
TS,PPO,cardinal,particlefilters,5000,-28.068,69.48111524723822,41.82,37.98320155015898,1000,995,5,0.995,0.005
TS,PPO,cardinal,particlefilters,10000,-27.307,62.960171942268396,41.183,35.083208390909746,1000,996,4,0.996,0.004
MLS,PPO,cardinal,particlefilters,1000,-74.7935,222.6212997620623,65.533,123.94854138310785,1000,928,72,0.928,0.072
MLS,PPO,cardinal,particlefilters,2000,-72.8965,214.8486107419594,67.439,124.89934458995373,1000,928,72,0.928,0.072
MLS,PPO,cardinal,particlefilters,5000,-68.249,209.8820740296798,62.302,119.76358710392738,1000,934,66,0.934,0.066
TS,DQN,cardinal,particlefilters,1000,-28.6005,59.337253473260795,44.67,35.37746599178635,1000,996,4,0.996,0.004
TS,DQN,cardinal,particlefilters,2000,-26.0455,52.20616036206838,42.734,32.238660704191794,1000,997,3,0.997,0.003
TS,DQN,cardinal,particlefilters,5000,-27.8785,57.197145800730304,44.906,34.63898329916743,1000,997,3,0.997,0.003
TS,DQN,cardinal,particlefilters,10000,-27.328,51.81406581228691,44.507,32.56504185472514,1000,997,3,0.997,0.003
MLS,DQN,cardinal,particlefilters,1000,-41.8375,145.31496600058097,50.75,94.21884896346378,1000,961,39,0.961,0.039
MLS,DQN,cardinal,particlefilters,2000,-34.873,124.33917472381742,45.365,79.18739656662542,1000,974,26,0.974,0.026
MLS,DQN,cardinal,particlefilters,5000,-30.5345,110.89070321604963,42.481,75.36634287929859,1000,975,25,0.975,0.025
MLS,DQN,cardinal,particlefilters,10000,-36.3735,133.88457434577742,45.456,84.71696444042361,1000,968,32,0.968,0.032
QMDP,DQN,cardinal,particlefilters,1000,-46.864,128.87170365910433,72.392,134.48668460483364,1000,912,88,0.912,0.088
QMDP,DQN,cardinal,particlefilters,2000,-51.488,155.36866594007944,68.614,129.59729551190486,1000,921,79,0.921,0.079
QMDP,DQN,cardinal,particlefilters,5000,-39.7645,115.50075233412984,62.987,120.24241693761815,1000,933,67,0.933,0.067
